objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Kira001.jpg,,,Kira Meowdelling ,Raven,2021-12-05,cute cat lying on my table,cat posting;meow;home,"Taytay, Rizal",,,Labangon Family Archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,Kira002.jpg,,,Kira Meowdelling ,Raven,2021-12-05,cute cat lying on my table,cat posting;meow;home,"Taytay, Rizal",,,Labangon Family Archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,Kira003.jpg,,,Kira Meowdelling ,Raven,2021-12-05,cute cat lying on my table,cat posting;meow;home,"Taytay, Rizal",,,Labangon Family Archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,Kira004.jpg,,,Kira Meowdelling ,Raven,2021-12-05,cute cat lying on my table,cat posting;meow;home,"Taytay, Rizal",,,Labangon Family Archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,Kira005.jpg,,,Kira Meowdelling ,Raven,2021-12-05,cute cat lying on my table,cat posting;meow;home,"Taytay, Rizal",,,Labangon Family Archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,